Goal,Meal Type,Name,Calories,ProteinContent,CarbohydrateContent,FatContent,Ingredients,Cuisine
Fat Loss,Dinner,Cauliflower Tahini Bowl,350,14,20,20,"cauliflower, tahini, lemon, garlic",Levantine
Muscle Gain,Dinner,Chicken Liver with Bread and Salad,540,32,30,26,"chicken liver, bread, onions, salad",Middle Eastern
Endurance,Dinner,Rice Pudding with Milk and Nuts,430,14,58,12,"rice, milk, nuts, cinnamon",Middle Eastern
Maintenance,Dinner,Vegetable Couscous Bowl,420,14,58,10,"couscous, vegetables, chickpeas",North African
Fat Loss,Dinner,Stuffed Grape Leaves with Yogurt,370,12,34,18,"grape leaves, rice, herbs, yogurt",Levantine
Muscle Gain,Dinner,Beef and Hummus Plate,610,36,28,34,"beef strips, hummus, olive oil, pita",Middle Eastern
Endurance,Dinner,Chicken Freekeh Soup,460,30,42,12,"chicken, freekeh, onions, broth",Levantine
Maintenance,Dinner,Tomato Egg Stew with Bread,390,22,26,18,"eggs, tomatoes, onions, bread",Middle Eastern
Fat Loss,Dinner,Roasted Eggplant with Yogurt Sauce,320,12,18,18,"eggplant, yogurt, garlic, olive oil",Levantine
Muscle Gain,Dinner,Shawarma Wrap with Fries Oven Baked,670,34,56,30,"shawarma chicken, wrap, potatoes, garlic sauce",Levantine
Endurance,Dinner,Chicken and Bulgur Bowl,520,34,50,14,"chicken, bulgur, vegetables",Middle Eastern
Maintenance,Dinner,Cheese and Zaatar Flatbread with Salad,450,18,42,18,"flatbread, cheese, zaatar, salad",Levantine
Fat Loss,Dinner,Light Lentil and Vegetable Stew,330,18,28,10,"lentils, zucchini, carrots, tomato",Middle Eastern
Muscle Gain,Dinner,Arabic Beef Burger Plate,690,38,44,32,"beef patty, bread, tahini slaw, potatoes",Fusion Middle Eastern
Endurance,Dinner,Chicken Couscous with Raisins,580,32,68,16,"chicken, couscous, raisins, spices",North African
Maintenance,Dinner,Yogurt Cucumber Bowl with Eggs and Bread,360,22,24,14,"yogurt, cucumber, eggs, bread",Middle Eastern
Fat Loss,Dinner,Grilled Shrimp Salad Arabic Style,390,34,12,16,"shrimp, greens, lemon, olive oil",Mediterranean
Muscle Gain,Dinner,Beef Rice Stuffed Cabbage Rolls,650,34,54,24,"cabbage, beef, rice, tomato sauce",Levantine
Endurance,Dinner,Chickpea Pasta with Herbs and Yogurt,560,24,62,14,"chickpea pasta, herbs, yogurt",Fusion
Maintenance,Dinner,Labneh Wrap with Turkey Slices,410,26,28,16,"labneh, wrap, turkey, cucumber",Fusion Middle Eastern
Fat Loss,Dinner,Chicken Vegetable Soup,290,28,16,8,"chicken, vegetables, broth",Middle Eastern
Muscle Gain,Dinner,Egg and Cheese Arabic Sandwich,530,28,38,24,"eggs, cheese, arabic bread",Middle Eastern
Endurance,Dinner,Date Yogurt Energy Bowl,440,18,56,10,"dates, yogurt, oats, nuts",Middle Eastern
Muscle Gain,Breakfast,Mashed Chickpeas with Eggs and Olive Oil,440,23,34,20,"chickpeas, eggs, olive oil, lemon",Middle Eastern
Fat Loss,Breakfast,Yogurt with Cucumber and Flaxseeds,250,18,10,12,"yogurt, cucumber, flaxseeds",Mediterranean
Maintenance,Breakfast,Whole Wheat Cheese Toast Arabic Style,360,19,30,16,"whole wheat bread, cheese, tomatoes",Middle Eastern
Endurance,Breakfast,Semolina Porridge with Dates,420,14,62,10,"semolina, milk, dates",Middle Eastern
Muscle Gain,Breakfast,Chicken and Egg Breakfast Plate,500,35,22,26,"chicken breast, eggs, bread",Fusion
Fat Loss,Breakfast,Tomato Mint Egg White Scramble,240,22,8,10,"egg whites, tomato, mint, olive oil",Middle Eastern
Maintenance,Breakfast,Baba Ghanoush with Pita and Yogurt,370,14,32,18,"eggplant, tahini, yogurt, pita",Levantine
Endurance,Breakfast,Date Molasses with Tahini and Bread,430,13,58,16,"date molasses, tahini, bread",Levantine
Muscle Gain,Breakfast,Halloumi Wrap with Eggs,490,30,28,28,"halloumi, eggs, wrap, vegetables",Levantine
Fat Loss,Breakfast,Boiled Eggs with Arugula Salad,270,22,6,16,"eggs, arugula, lemon, olive oil",Mediterranean
Maintenance,Lunch,Chicken and Chickpea Stew with Rice,620,36,64,18,"chicken, chickpeas, rice, tomato",Middle Eastern
Muscle Gain,Lunch,Arabic Spiced Beef Meatballs with Rice,730,42,68,26,"beef meatballs, rice, spices",Middle Eastern
Fat Loss,Lunch,Grilled Chicken with Cauliflower Rice,460,40,18,16,"chicken, cauliflower, spices, olive oil",Fusion
Endurance,Lunch,Freekeh Pilaf with Chicken and Almonds,680,38,72,20,"freekeh, chicken, almonds",Levantine
Maintenance,Lunch,Pea Stew with Lean Beef and Rice,600,32,58,18,"peas, lean beef, rice, tomato sauce",Middle Eastern
Muscle Gain,Lunch,Chicken Fajita Arabic Rice Bowl,710,44,66,24,"chicken, rice, peppers, yogurt sauce",Fusion
Fat Loss,Lunch,Baked Fish with Tahini Salad,490,36,22,18,"fish, tahini salad, lemon",Levantine
Endurance,Lunch,Turkey Rice Stuffed Zucchini,620,34,60,18,"turkey mince, zucchini, rice",Middle Eastern
Maintenance,Lunch,Red Lentil Rice Bowl with Yogurt,550,22,66,12,"red lentils, rice, yogurt",Middle Eastern
Muscle Gain,Lunch,Chicken and Potato Kabob Plate,760,46,58,30,"chicken kabob, potatoes, garlic sauce",Middle Eastern
Fat Loss,Dinner,Greek Yogurt with Cucumber and Boiled Eggs,310,24,10,14,"greek yogurt, cucumber, eggs",Mediterranean
Maintenance,Dinner,Light Hummus Plate with Salad,350,14,24,18,"hummus, salad, olive oil",Levantine
Muscle Gain,Dinner,Chicken and Cheese Saj Wrap,590,38,46,22,"chicken, saj bread, cheese, vegetables",Levantine
Endurance,Dinner,Bulgur with Yogurt and Chickpeas,470,20,56,12,"bulgur, yogurt, chickpeas",Middle Eastern
Fat Loss,Dinner,Grilled Turkey Slices with Vegetables,330,32,12,10,"turkey, vegetables, olive oil",Fusion
Maintenance,Dinner,Eggplant Tomato Stew with Bread,390,12,34,18,"eggplant, tomatoes, bread, olive oil",Levantine
Muscle Gain,Dinner,Arabic Tuna Pasta Salad,610,34,58,20,"tuna, pasta, yogurt dressing, herbs",Fusion
Endurance,Dinner,Chicken Rice Bowl with Yogurt Mint Sauce,540,32,52,14,"chicken, rice, yogurt, mint",Middle Eastern
Fat Loss,Dinner,Lentil Soup with Lemon and Cumin,280,16,30,6,"lentils, lemon, cumin, onions",Middle Eastern
Maintenance,Dinner,Cheese Omelette Wrap,420,24,24,20,"eggs, cheese, wrap",Middle Eastern
Muscle Gain,Breakfast,Aish Baladi with Feta and Olives,400,18,46,16,"baladi bread, feta cheese, olives, olive oil",Egyptian
Fat Loss,Breakfast,Kishk with Walnuts and Honey,350,14,42,12,"kishk powder, milk, walnuts, honey",Levantine
Maintenance,Breakfast,Qatayef with Low-Fat Akkawi,480,12,68,14,"qatayef dough, akkawi cheese, sugar syrup",Levantine
Endurance,Breakfast,Asida with Honey and Ghee,560,10,84,20,"wheat flour, honey, ghee, milk",Sudanese
Muscle Gain,Breakfast,Beef Sausage with Eggs and Pita,540,28,34,28,"beef sausage, eggs, pita bread",Levantine
Fat Loss,Breakfast,Egg and Zaatar Omelette with Labneh,300,22,8,18,"eggs, zaatar, labneh, olive oil",Levantine
Maintenance,Breakfast,Date Filled Maamoul with Tea,410,8,62,14,"maamoul dough, dates, semolina",Levantine
Endurance,Breakfast,Tahini Banana Smoothie Bowl,460,12,64,16,"banana, tahini, milk, oats, honey",Middle Eastern
Muscle Gain,Breakfast,Grilled Halloumi and Egg Sandwich,520,28,38,28,"halloumi, eggs, arabic bread, tomato",Levantine
Fat Loss,Breakfast,Cucumber Labneh Boat,240,14,12,14,"labneh, cucumber, mint, walnuts",Middle Eastern
Maintenance,Breakfast,Bread Pudding with Nuts (Egyptian),480,14,60,18,"bread, milk, nuts, cinnamon, honey",Egyptian
Muscle Gain,Lunch,Chicken Tagen with Olives and Potatoes,680,44,48,28,"chicken, olives, potatoes, onions, spices",North African
Fat Loss,Lunch,Grilled Sardines with Tomato Salsa,460,38,12,20,"sardines, tomato, onion, parsley, lemon",Moroccan
Maintenance,Lunch,Couscous with Seven Vegetables,570,16,84,12,"couscous, zucchini, carrots, chickpeas, pumpkin",Tunisian
Endurance,Lunch,Ruz Bukhari (Uzbek Rice),720,38,88,22,"rice, carrots, chickpeas, beef, spices",Afghan / Uzbek
Muscle Gain,Lunch,Lamb Tajine with Prunes and Almonds,830,46,70,38,"lamb, prunes, almonds, onions, honey",Moroccan
Fat Loss,Lunch,Chicken Mshakkal (Grilled Vegetables),490,44,22,18,"chicken, bell peppers, onions, zucchini, spices",Lebanese
Maintenance,Lunch,Fasolia with Rice and Beef,640,34,62,22,"white beans, beef, rice, tomato sauce",Egyptian
Muscle Gain,Lunch,Camel Meat Mandi,810,52,68,32,"camel meat, rice, mandi spices",Yemeni
Endurance,Lunch,Bamia with Lamb and Rice,680,36,58,26,"okra, lamb, rice, tomato sauce",Egyptian
Fat Loss,Lunch,Garlic Shrimp with Broccoli Rice,490,46,24,18,"shrimp, broccoli, garlic, lemon, olive oil",Fusion
Maintenance,Lunch,Kabsa with Fish,590,32,70,14,"fish, rice, kabsa spices, onions",Gulf
Muscle Gain,Lunch,Beef Stroganoff Arabic Style,750,48,52,36,"beef strips, mushrooms, yogurt sauce, rice",Levantine
Fat Loss,Lunch,Zucchini Boats with Turkey Mince,430,38,18,16,"zucchini, turkey mince, tomato sauce",Middle Eastern
Maintenance,Lunch,Chicken and Sweet Potato Tagine,560,34,48,18,"chicken, sweet potato, chickpeas, spices",Moroccan
Endurance,Lunch,Freekeh Soup with Chicken and Lentils,610,32,74,14,"freekeh, chicken, lentils, broth",Levantine
Muscle Gain,Lunch,Grilled Quail with Rice and Pomegranate,730,52,58,30,"quail, rice, pomegranate molasses, walnuts",Levantine
Fat Loss,Lunch,Salmon with Fennel and Lemon,510,46,10,28,"salmon, fennel, lemon, olive oil",Mediterranean
Maintenance,Lunch,Stuffed Onions with Rice and Meat,620,30,64,20,"onions, rice, minced beef, tomato sauce",Turkish / Arab
Muscle Gain,Lunch,Chicken Thighs with Buckwheat,680,44,56,28,"chicken thighs, buckwheat, onions, spices",Fusion
Fat Loss,Lunch,Octopus Salad with Lemon and Capers,380,34,12,14,"octopus, lemon, capers, olive oil, parsley",Mediterranean
Endurance,Lunch,Pasta with Lentils and Tomato (Egyptian),600,24,80,14,"pasta, brown lentils, tomato sauce, onions",Egyptian
Maintenance,Lunch,Potato and Pea Stew with Rice,570,18,68,16,"potatoes, peas, rice, tomato, spices",Middle Eastern
Muscle Gain,Lunch,Duck Maqluba,840,50,72,38,"duck, rice, eggplant, cauliflower",Levantine
Fat Loss,Lunch,Beef Liver with Sauteed Onions,470,42,12,22,"beef liver, onions, olive oil, spices",Middle Eastern
Maintenance,Lunch,Barley Soup with Lamb and Vegetables,530,26,58,16,"barley, lamb, carrots, celery, tomatoes",Middle Eastern
Muscle Gain,Lunch,Chicken Fattah with Garlic Vinegar,720,40,74,26,"chicken, bread, rice, garlic vinegar",Egyptian
Endurance,Lunch,Bulgur Pilaf with Chickpeas and Chicken,650,38,76,18,"bulgur, chickpeas, chicken, onions",Levantine
Fat Loss,Lunch,Steamed Fish with Tamarind Sauce,460,42,14,18,"white fish, tamarind, spices, cilantro",Egyptian
Maintenance,Lunch,Macarona Bechamel with Lean Beef,720,32,68,32,"pasta, bechamel, lean beef, cheese",Egyptian
Muscle Gain,Lunch,Grilled Octopus with Freekeh,690,52,58,26,"octopus, freekeh, lemon, olive oil",Levantine
Fat Loss,Lunch,Shrimp and Zucchini Noodles,420,38,12,16,"shrimp, zucchini, garlic, olive oil",Fusion
Maintenance,Lunch,Rice with Vermicelli and Chicken Livers,580,34,64,18,"rice, vermicelli, chicken livers, onions",Levantine
Muscle Gain,Dinner,Lamb Chops with Grilled Asparagus,660,48,8,44,"lamb chops, asparagus, olive oil, garlic",Mediterranean
Fat Loss,Dinner,Tuna and Chickpea Salad,370,34,20,16,"tuna, chickpeas, parsley, lemon, olive oil",Mediterranean
Maintenance,Dinner,Eggplant Fatteh with Yogurt,520,20,58,22,"fried eggplant, bread, yogurt, garlic",Levantine
Endurance,Dinner,Chicken and Vermicelli Soup,420,28,46,10,"chicken, vermicelli, broth, spices",Middle Eastern
Muscle Gain,Dinner,Beef Kofta with Eggplant Puree,640,42,28,36,"beef kofta, eggplant, tahini, garlic",Levantine
Fat Loss,Dinner,Cod with Chermoula and Cauliflower,400,40,12,18,"cod, chermoula sauce, cauliflower, olive oil",Moroccan
Maintenance,Dinner,Falafel Bowl with Quinoa,560,20,64,20,"falafel, quinoa, tahini, salad",Levantine
Muscle Gain,Dinner,Lamb Liver Saute with Sumac,590,44,14,34,"lamb liver, sumac, onions, pomegranate molasses",Levantine
Endurance,Dinner,Pumpkin Lentil Soup with Crispy Bread,470,20,58,12,"pumpkin, red lentils, carrots, bread",Middle Eastern
Fat Loss,Dinner,Cabbage Rolls with Lean Meat,420,32,24,18,"cabbage leaves, lean beef, rice, tomato",Levantine
Maintenance,Dinner,Green Beans Stew with Olive Oil,450,12,32,24,"green beans, olive oil, onions, tomato",Egyptian
Muscle Gain,Dinner,Chicken Drumsticks with Quinoa Tabbouleh,600,46,44,26,"chicken drumsticks, quinoa, parsley, tomato",Levantine
Fat Loss,Dinner,Shrimp Soup with Cilantro and Lemon,310,32,12,12,"shrimp, cilantro, lemon, garlic, broth",Egyptian
Maintenance,Dinner,Stuffed Artichokes with Rice and Herbs,500,18,60,16,"artichokes, rice, dill, lemon",Levantine
Muscle Gain,Dinner,Beef and Okra Stew with Brown Rice,680,40,56,30,"beef, okra, brown rice, tomato sauce",Middle Eastern
Endurance,Dinner,Fish Sayadiya with Freekeh,610,38,62,20,"white fish, freekeh, onions, spices",Levantine
Fat Loss,Dinner,Chicken and Cucumber Yogurt Bowl,360,34,12,14,"chicken breast, cucumber yogurt, mint",Middle Eastern
Maintenance,Dinner,Rice Pudding with Rose Water and Nuts,440,10,68,14,"rice, milk, rose water, pistachios",Levantine
Muscle Gain,Dinner,Beef Arayes with Garlic Yogurt,700,42,46,36,"minced beef, pita bread, yogurt, garlic",Levantine
Endurance,Dinner,Semolina Cake with Date Syrup,530,12,84,16,"semolina, date syrup, coconut, nuts",Gulf
Fat Loss,Dinner,Grilled Halloumi and Watermelon Salad,380,20,18,24,"halloumi, watermelon, mint, olive oil",Levantine
Maintenance,Dinner,Moussaka with Lentils (Vegetarian),490,18,48,22,"eggplant, lentils, tomatoes, onions",Levantine
Muscle Gain,Dinner,Turkey Shawarma Plate with Sweet Potato,630,48,46,28,"turkey shawarma, sweet potato, tahini",Fusion
Fat Loss,Dinner,Clam Soup with Parsley and Garlic,290,26,12,8,"clams, parsley, garlic, broth",Mediterranean
Maintenance,Dinner,Spinach Fatayer with Labneh Dip,460,16,48,20,"spinach pies, labneh, mint",Levantine
Muscle Gain,Dinner,Chicken Kabob with Cilantro Rice,710,44,68,26,"chicken kabob, rice, cilantro, lime",Fusion
Endurance,Dinner,Chickpea and Potato Curry,540,18,72,16,"chickpeas, potatoes, coconut milk, spices",Fusion (Arabic)
Fat Loss,Dinner,Zucchini Noodles with Pesto,350,12,14,26,"zucchini, basil pesto, pine nuts",Mediterranean
Maintenance,Dinner,Freekeh Salad with Pomegranate and Walnuts,520,16,58,22,"freekeh, pomegranate seeds, walnuts, parsley",Levantine
Muscle Gain,Dinner,Grilled Liver Sandwich with Onions,580,40,36,28,"liver, arabic bread, sauteed onions",Egyptian
Fat Loss,Dinner,Beetroot Yogurt Soup with Dill,270,10,20,12,"beetroot, yogurt, dill, garlic",Levantine
Endurance,Dinner,Milk with Date and Cardamom Smoothie,430,12,60,12,"milk, dates, cardamom, honey",Gulf
Fat Loss,Snack,Cucumber and Zaatar Cups,90,3,6,5,"cucumber, zaatar, lemon, olive oil",Middle Eastern
Maintenance,Snack,Roasted Chickpeas with Paprika,150,7,20,4,"chickpeas, paprika, olive oil, salt",Middle Eastern
Endurance,Snack,Date and Almond Energy Balls,210,5,28,10,"dates, almonds, cocoa powder",Middle Eastern
Muscle Gain,Snack,Tuna and Hummus Lettuce Wraps,280,22,12,14,"tuna, hummus, lettuce, lemon",Mediterranean
Fat Loss,Snack,Boiled Egg with Zaatar and Olive Oil,140,12,2,10,"egg, zaatar, olive oil",Levantine
Maintenance,Snack,Pita Chips with Labneh Dip,310,10,34,14,"pita bread, labneh, mint",Levantine
Endurance,Snack,Figs and Goat Cheese Bites,190,6,24,8,"fresh figs, goat cheese, honey",Mediterranean
Muscle Gain,Snack,Beef Jerky Arabic Spiced,250,32,8,8,"beef, spices, vinegar",Middle Eastern
Fat Loss,Snack,Carrot Sticks with Tahini Lemon Dip,120,3,14,6,"carrots, tahini, lemon, garlic",Levantine
Maintenance,Snack,Semolina Halva with Pistachios,380,6,50,18,"semolina, sugar, ghee, pistachios",Middle Eastern
Endurance,Snack,Dried Apricots with Walnuts,170,4,28,6,"dried apricots, walnuts",Middle Eastern
Muscle Gain,Dessert,Rice Pudding with Protein Powder,420,20,58,12,"rice, milk, protein powder, cinnamon",Fusion
Fat Loss,Dessert,Baked Cinnamon Apples with Yogurt,180,4,28,6,"apple, cinnamon, yogurt, honey",Mediterranean
Maintenance,Dessert,Basbousa with Coconut,490,6,68,20,"semolina, coconut, sugar, yogurt",Egyptian
Endurance,Dessert,Date and Walnut Maamoul,350,5,50,14,"dates, walnuts, semolina, ghee",Levantine
Muscle Gain,Dessert,Chickpea Blondies,310,12,40,12,"chickpeas, peanut butter, honey, chocolate chips",Fusion
Fat Loss,Dessert,Frozen Yogurt Bark with Berries,150,6,18,6,"greek yogurt, mixed berries, honey",Mediterranean
Maintenance,Dessert,Kunafa with Low-Fat Cheese,520,16,60,22,"kunafa dough, akkawi cheese, sugar syrup",Levantine
Endurance,Dessert,Qatayef with Cream and Nuts,460,10,64,18,"qatayef, ashta cream, pistachios, syrup",Levantine
Muscle Gain,Dessert,Saffron Milk Cake,390,12,58,12,"milk, flour, saffron, nuts",Gulf
Fat Loss,Dessert,Lemon and Mint Sorbet,110,1,26,0,"lemon juice, mint, sugar, water",Mediterranean
Maintenance,Dessert,Stuffed Dates with Peanut Butter,240,5,36,10,"dates, peanut butter, dark chocolate",Fusion
